algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,best_quality,avg_coverage,cumulative_candidates,final_auc,final_width,dataset
Pure ROC,pure_roc,0,1,0,1,0.0,1000.0,0,0.8169366244612069,18,adult
Pure ROC,pure_roc,1,1,120,12,0.5176005747126438,557.9166666666666,120,0.8169366244612069,18,adult
Pure ROC,pure_roc,2,12,1229,19,0.5493444683908046,425.7368421052632,1349,0.8169366244612069,18,adult
Pure ROC,pure_roc,3,19,1656,16,0.569055316091954,438.25,3005,0.8169366244612069,18,adult
Pure ROC,pure_roc,4,16,1282,15,0.5742636494252873,439.0,4287,0.8169366244612069,18,adult
Pure ROC,pure_roc,0,1,0,1,0.0,8124.0,0,0.2200672293059185,16,mushroom
Pure ROC,pure_roc,1,1,211,20,0.9039836567926456,4454.0,211,0.2200672293059185,16,mushroom
Pure ROC,pure_roc,2,20,3925,20,0.9138563832886044,3994.4,4136,0.2200672293059185,16,mushroom
Pure ROC,pure_roc,3,20,3714,12,0.91589928420791,4117.333333333333,7850,0.2200672293059185,16,mushroom
Pure ROC,pure_roc,4,12,2122,9,0.9169207346675624,3992.0,9972,0.2200672293059185,16,mushroom
Pure ROC,pure_roc,0,1,0,1,0.0,351.0,0,0.7418165784832451,7,ionosphere
Pure ROC,pure_roc,1,1,265,21,0.5374603174603174,136.0952380952381,265,0.7418165784832451,7,ionosphere
Pure ROC,pure_roc,2,21,4490,10,0.5419047619047619,116.5,4755,0.7418165784832451,7,ionosphere
Pure ROC,pure_roc,3,10,1851,6,0.5419047619047619,124.5,6606,0.7418165784832451,7,ionosphere
Pure ROC,pure_roc,4,6,1035,4,0.5419047619047619,142.25,7641,0.7418165784832451,7,ionosphere
Pure ROC,pure_roc,0,1,0,1,0.0,958.0,0,0.2013260710573925,6,tic-tac-toe
Pure ROC,pure_roc,1,1,108,9,0.3418915277724316,372.77777777777777,108,0.2013260710573925,6,tic-tac-toe
Pure ROC,pure_roc,2,9,864,6,0.3418915277724316,289.8333333333333,972,0.2013260710573925,6,tic-tac-toe
Pure ROC,pure_roc,3,6,478,6,0.3418915277724316,287.0,1450,0.2013260710573925,6,tic-tac-toe
Pure ROC,pure_roc,4,6,455,5,0.3418915277724316,307.2,1905,0.2013260710573925,6,tic-tac-toe
Pure ROC,pure_roc,0,1,0,1,0.0,699.0,0,0.9779620938955228,10,wisconsin
Pure ROC,pure_roc,1,1,101,10,0.8130968127706608,295.4,101,0.9779620938955228,10,wisconsin
Pure ROC,pure_roc,2,10,742,9,0.8716048487923318,293.3333333333333,843,0.9779620938955228,10,wisconsin
Pure ROC,pure_roc,3,9,596,10,0.8868886915870916,291.4,1439,0.9779620938955228,10,wisconsin
Pure ROC,pure_roc,4,10,595,8,0.8890720977006287,301.75,2034,0.9779620938955228,10,wisconsin
