,,,auc,auc,new_auc,new_auc,auc_reduction,auc_reduction,selected_points,time_seconds
,,,mean,std,mean,std,mean,std,mean,mean
method,param_type,param_value,,,,,,,,
above_diagonal_percentage,distance_percentage,0.5,,,0.4511,0.4331,0.0169,0.0207,0.0,0.0073
above_diagonal_percentage,distance_percentage,1.0,,,0.5244,0.4254,0.0201,0.0226,0.0,0.0081
above_diagonal_percentage,distance_percentage,2.0,,,0.5632,0.4181,0.0201,0.0224,0.0,0.0097
above_diagonal_percentage,distance_percentage,5.0,,,0.6294,0.3841,0.0243,0.0241,0.0,0.0091
above_diagonal_percentage,distance_percentage,10.0,,,0.6963,0.3349,0.0309,0.0289,0.0,0.009
below_hull_percentage,distance_percentage,0.5,,,0.5913,0.4032,0.0379,0.0717,0.0,0.027
below_hull_percentage,distance_percentage,1.0,,,0.6289,0.3873,0.0406,0.0732,0.0,0.0246
below_hull_percentage,distance_percentage,2.0,,,0.6647,0.3698,0.0379,0.0796,0.0,0.0244
below_hull_percentage,distance_percentage,5.0,,,0.7075,0.3451,0.0359,0.0788,0.0,0.0248
below_hull_percentage,distance_percentage,10.0,,,0.793,0.2168,0.0423,0.0783,0.0,0.0278
closest_points_to_hull,n_points,10.0,,,0.7838,0.1696,0.0802,0.1145,0.0,0.0107
closest_points_to_hull,n_points,20.0,,,0.8126,0.142,0.0515,0.0836,0.0,0.0107
closest_points_to_hull,n_points,50.0,,,0.832,0.1229,0.032,0.0618,0.0,0.0101
closest_points_to_hull,n_points,100.0,,,0.8418,0.1278,0.0222,0.0584,0.0,0.0114
furthest_from_diagonal,n_points,10.0,,,0.825,0.1048,0.0391,0.0231,0.0,0.0093
furthest_from_diagonal,n_points,20.0,,,0.8266,0.1056,0.0374,0.0226,0.0,0.01
furthest_from_diagonal,n_points,50.0,,,0.8317,0.1055,0.0324,0.0222,0.0,0.0098
furthest_from_diagonal,n_points,100.0,,,0.8355,0.1062,0.0285,0.0232,0.0,0.01
