dataset,depth,width,num_instances,num_positives,num_negatives,num_subgroups,num_roc_points,hull_points,auc,max_quality,avg_quality,best_tpr,best_fpr,time_seconds
adult,1,100,1000,232,768,16,16,4,0.746680248742816,0.5176005747126438,0.26101158405172414,0.8405172413793104,0.3229166666666667,0.4734025001525879
mushroom,1,100,8124,3916,4208,17,17,3,0.7281718367077448,0.5515832482124617,0.3525982560635342,0.5515832482124617,0.0,0.44449639320373535
ionosphere,1,100,351,225,126,79,79,2,0.6749911816578483,0.5374603174603174,0.23682941531042795,0.9422222222222222,0.40476190476190477,0.06016349792480469
wisconsin,1,100,699,241,458,18,18,5,0.8985531537081665,0.8606878182246461,0.6026608563300657,0.950207468879668,0.08951965065502183,0.024107694625854492
tic-tac-toe,1,100,958,626,332,5,5,1,0.5933927402902344,0.30755610300627434,0.14212248354440127,0.5846645367412141,0.27710843373493976,0.02797079086303711
Credit-a,1,100,690,210,480,1,1,0,0.5761904761904763,0.1523809523809524,0.1523809523809524,0.21904761904761905,0.06666666666666667,0.031079769134521484
Covertype,1,100,581012,15573,565439,18,18,2,0.8010925660444627,0.7690501853687506,0.26580029214130296,0.9983304437166891,0.2292802583479385,46.917400598526
adult,2,100,1000,232,768,78,78,5,0.742364291487069,0.5563487787356323,0.29357258970674915,0.8232758620689655,0.2669270833333333,0.2024707794189453
mushroom,2,100,8124,3916,4208,66,66,3,0.7300113213995814,0.7304458262291389,0.34690105006142946,0.8140960163432074,0.08365019011406843,0.4855344295501709
ionosphere,2,100,351,225,126,513,513,4,0.8746560846560847,0.7892063492063492,0.5452204585537919,0.8844444444444445,0.09523809523809523,1.392270803451538
wisconsin,2,100,699,241,458,47,47,6,0.9460671510627119,0.8951874467738137,0.7603932020064127,0.9585062240663901,0.06331877729257641,0.20940661430358887
tic-tac-toe,2,100,958,626,332,5,5,1,0.5933927402902344,0.30755610300627434,0.14212248354440127,0.5846645367412141,0.27710843373493976,0.0423128604888916
Credit-a,2,100,690,210,480,27,27,4,0.5971378968253969,0.1523809523809524,0.1123346560846561,0.21904761904761905,0.06666666666666667,0.1414034366607666
Covertype,2,100,581012,15573,565439,451,451,7,0.8605754708593577,0.8190001513820516,0.4552813096261885,0.996596673730174,0.17759652234812243,47.742915630340576
adult,3,100,1000,232,768,88,88,4,0.7912597656250002,0.5747575431034483,0.4092087700822884,0.7974137931034483,0.22265625,0.33051443099975586
mushroom,3,100,8124,3916,4208,69,69,3,0.8251950659670572,0.7760732026549945,0.4412920686935706,0.8140960163432074,0.03802281368821293,0.5302495956420898
ionosphere,3,100,351,225,126,582,582,6,0.9334038800705469,0.8142857142857143,0.6817034855179185,0.9333333333333333,0.11904761904761904,2.8291125297546387
wisconsin,3,100,699,241,458,47,47,6,0.9391409520013048,0.8997716936346012,0.8020791608565231,0.9543568464730291,0.05458515283842795,0.4624028205871582
tic-tac-toe,3,100,958,626,332,5,5,1,0.5933927402902344,0.30755610300627434,0.14212248354440127,0.5846645367412141,0.27710843373493976,0.039069175720214844
Credit-a,3,100,690,210,480,226,226,5,0.5999900793650793,0.1523809523809524,0.11612015381373789,0.21904761904761905,0.06666666666666667,0.30107617378234863
Covertype,3,100,581012,15573,565439,743,743,7,0.94888562401045,0.8506569702431489,0.8022527919832677,0.996596673730174,0.14593970348702512,52.07349371910095
adult,4,100,1000,232,768,739,739,7,0.8068286413433909,0.5747575431034483,0.45337501506773675,0.7974137931034483,0.22265625,0.44855260848999023
mushroom,4,100,8124,3916,4208,544,544,4,0.8245525328475941,0.7760732026549945,0.4068559935907468,0.8140960163432074,0.03802281368821293,0.6142761707305908
ionosphere,4,100,351,225,126,888,888,6,0.943121693121693,0.8142857142857143,0.7145599170599171,0.9333333333333333,0.11904761904761904,4.099056005477905
wisconsin,4,100,699,241,458,482,482,7,0.9646895214626103,0.8997716936346012,0.7563031608695251,0.9543568464730291,0.05458515283842795,0.8035781383514404
tic-tac-toe,4,100,958,626,332,5,5,1,0.5933927402902344,0.30755610300627434,0.14212248354440127,0.5846645367412141,0.27710843373493976,0.04060053825378418
Credit-a,4,100,690,210,480,807,807,5,0.6016914682539682,0.16577380952380955,0.12621887354694045,0.6428571428571429,0.47708333333333336,0.41049671173095703
Covertype,4,100,581012,15573,565439,993,993,7,0.949902387406736,0.8773636530152958,0.8453312608692702,0.996596673730174,0.11923302071487818,49.41240215301514
